Fish_type Location_name latitude longitude
unknown Top_på_30m._omgivet_af_40m. 55.58.334 15.08.853
unknown Toppe_&_Banker_28_m. 56.04.832 15.03.530
unknown Toppe_&_Banker_28_m. 56.02.852 15.05.331
unknown Toppe_24_m. 55.58.604 14.59.655
unknown 21’eren 55.36.060 14.27.050
unknown 44’eren 55.35.040 14.31.050
unknown 77’eren 55.36.060 14.32.070
unknown Knutan 55.37.030 14.39.040
unknown Melin 55.38.010 14.37.000
unknown Mittelsten 55.36.080 14.39.070
unknown Ruski 55.36.040 14.37.000
unknown Synrenabbe 55.30.700 14.48.000
unknown Synrenabbe 55.33.050 14.37.020
unknown Agersø_(Vrag) 55.10.911 11.13.328
unknown Urania 56.17.641 12.17.751
unknown Stenfragteren 56.16.841 12.17.238
unknown Eisfish 56.16.045 12.11.533
unknown Sigrid_S/S 56.13.835 12.14.476
unknown Mir 56.13.332 12.15.925
unknown Fusion_H10 56.10.676 12.21.163
unknown Fladfisk 55.57.174 11.49.844
unknown Ørkenen_Skrænt 56.03.056 12.38.886
unknown Algetønden 56.05.877 12.34.517
unknown Trapperne 56.04.901 12.37.151
unknown Cowboykant 56.05.625 12.35.426 
unknown Pålsjø 56.03.866 12.38.346
unknown Muslingerne 56.03.289 12.39.129   
unknown Makrelm4 56.03.328 12.39.017            
unknown DM_knolden 56.03.056 12.38.886
unknown Makrel_Kronb. 56.02.234 12.37.513
unknown Grænsen 56.02.597 12.39.262
unknown Forbudte 56.02.206 12.39.496
unknown Vandias 56.01.307 12.39.971
unknown Kobberværket 56.00.020 12.41.540
unknown Disken 56.00.299 12.38.499
unknown Hukommelsen 55.55.778 12.38.761
unknown Makrel_Ven 55.55.591 12.40.806
unknown Robert 55.55.537 12.43.232
unknown Rungsted_huller 55.54.315 12.36.166
unknown Fedterøven 55.54.955 12.44.157
unknown Ebbes 55.52.890 12.44.630
unknown Susannes_flak 55.51.770 12.45.000
unknown Trævrag 54.53.323 12.35.490
unknown Bakkely 54.55.903 12.40.248
unknown Explore 54.56.864 12.35.603
unknown Hjuldamper 54.56.904 12.38.304
Sej Breigrunn 70.37.56 21.51.15
Rødspætte Murmanskviken 70.38.02 21.57.42
Helleflynder Kveitesundet 70.40.42 21.59.23
Helleflynder Kamöybåen 70.39.07 21.50.62
unknown Vrag 56.35.32 07.49.01
unknown Kran 56.28.19 07.22.57
unknown Tyvknægt 56.32.72 07.16.71
unknown Stor_vrag 56.24.30 07.06.12
unknown John´s_vrag 56.27.81 07.02.72
unknown Britta_vrag 56.30.29 07.03.72
unknown Vrag_* 56.39.70 07.39.67
unknown Sten_top 56.35.63 07.21.90
unknown Stor_sten_top 56.35.59 07.21.14
unknown Sten 56.35.09 07.17.97
unknown Sten_top_bedst_i_syd_ende 56.26.64 07.47.46
unknown Sten_top 56.24.92 07.53.58
unknown Sten_top 56.30.18 07.51.93
unknown Sten_top 56.30.21 07.51.91
unknown Sten_top 56.27.15 07.50.50
unknown Hummer_sten 56.27.15 07.50.50
unknown Sten_top 56.24.46 07.54.91
unknown Stor_sten_top 56.22.23 07.54.15
